label,message
ham,"Hey, are you coming to college today?"
ham,"Can you send me the notes when you get time?"
spam,"Congratulations! You have won a cash prize of 50000. Claim now!"
ham,"I'll call you after the lecture."
spam,"URGENT! You have been selected for a free gift voucher. Click now to claim."
ham,"What time are we meeting tonight?"
ham,"Please remind me to submit the assignment tomorrow."
spam,"You have won a FREE iPhone! Call now to claim your prize."
ham,"Hey bro, can you bring my charger tomorrow?"
ham,"I am running late. Please wait for me."
spam,"Congratulations! Your mobile number has won a lottery prize of 10 lakh."
ham,"Are you free this evening?"
ham,"The class has been cancelled for today."
spam,"Get a guaranteed loan of 5 lakh with no documents. Apply now!"
ham,"I'll send you the project files tonight."
ham,"Did you reach home safely?"
spam,"You are the lucky winner of a cash reward. Reply WIN to receive it."
ham,"Can you explain the last question from today's lecture?"
ham,"Let's meet near the library after class."
spam,"FREE entry in our weekly competition! Text WIN to 80000 now."
ham,"I forgot my notebook at home."
spam,"Your account has won a special bonus. Claim your reward immediately."
ham,"Are you joining us for dinner?"
ham,"Please send me your location."
spam,"Congratulations! You have been chosen for a FREE holiday package."
ham,"The exam starts at 10 AM tomorrow."
ham,"I will be there in ten minutes."
spam,"Earn money from home with guaranteed income. Register now!"
ham,"Can you share the Python code with me?"
ham,"Thanks for helping me with the assignment."
spam,"You have won a brand new car! Call this number immediately."
ham,"What did the professor say about the project?"
ham,"I'll meet you at the bus stop."
spam,"Claim your exclusive reward before it expires. Reply YES now."
ham,"I am studying in the library right now."
ham,"Don't forget to bring the documents tomorrow."
spam,"WINNER! You have been selected for a cash prize. Call now to claim."
ham,"Can we postpone the meeting to tomorrow?"
ham,"I will email you the report tonight."
spam,"Special offer! Get 90 percent discount today only. Shop now!"
ham,"Have you completed the assignment?"
ham,"I'll call you once I reach home."
spam,"You have been pre-approved for a personal loan. Apply immediately."
ham,"Let's study together before the exam."
ham,"Can you send me the timetable?"
spam,"Congratulations! You have won a shopping voucher worth 10000."
ham,"I am on my way to college."
ham,"See you tomorrow morning."
spam,"You have won a free recharge. Reply CLAIM to receive it."
ham,"Please check your email when you are free."
ham,"The meeting has been moved to 3 PM."
spam,"URGENT! Your prize is waiting. Call now to collect your reward."
ham,"Can you help me with this coding problem?"
ham,"I will send the payment tomorrow."
spam,"Get rich quickly with our investment plan. Guaranteed returns!"
ham,"Where are you right now?"
ham,"I am almost there."
spam,"You are today's lucky winner! Claim your free gift now."
ham,"The professor uploaded the lecture slides."
ham,"Let's meet after the practical."
spam,"Exclusive deal! Buy now and receive a free gift."
ham,"Did you finish the lab work?"
ham,"I will message you after dinner."
spam,"Congratulations! Your number has been selected for a cash reward."
ham,"Can you call me when you reach home?"
ham,"I need the database notes for tomorrow."
spam,"Claim your FREE vacation package by replying YES."
ham,"The bus is late today."
ham,"I'll see you at the library."
spam,"You have won a lottery prize. Send your details to claim it."
ham,"Please bring your laptop tomorrow."
ham,"I have submitted the assignment."
spam,"Limited time offer! Get a huge discount on all products."
ham,"Are you attending the event tonight?"
ham,"I will be late for class."
spam,"Congratulations! You have received a special bonus. Claim now."
ham,"Can you send me the meeting link?"
ham,"Let's finish the project today."
spam,"You have been selected for a FREE cash reward. Call now."
ham,"I am going to the canteen. Do you want anything?"
ham,"Please remind me about the presentation."
spam,"Get a loan instantly with zero paperwork. Apply now!"
ham,"The practical exam is next Monday."
ham,"I will share the files on WhatsApp."
spam,"You are a lucky winner! Reply WIN to claim your prize."
ham,"Can we talk after class?"
ham,"I forgot to charge my phone."
spam,"FREE ringtone available now! Download and claim your reward."
ham,"The assignment deadline is Friday."
ham,"I am waiting outside the classroom."
spam,"Congratulations! You have won a valuable gift. Contact us now."
